"","Province_State","Week","Doses_yf","Total_Additional_Doses_yf","People_At_Least_One_Dose_yf","People_Fully_Vaccinated_yf","Doses_yf_Percent","Total_Additional_Doses_yf_Percent","People_At_Least_One_Dose_yf_Percent","People_Fully_Vaccinated_yf_Percent"
"168","North Carolina",2023-03-05,19425659,2248264,9682840,7046573,100,21,89,65
"169","North Dakota",2020-12-27,19266,0,0,0,2,0,0,0
"170","North Dakota",2021-12-26,1016026,146574,474912,401076,100,19,61,52
"171","North Dakota",2022-12-25,1288199,214898,526398,445125,100,28,68,57
"172","North Dakota",2023-03-05,1306066,217919,529028,447421,100,28,67,57
"173","Northeast Region",2020-12-27,717123,0,0,0,1,0,0,0
"174","Northeast Region",2021-12-26,97347290,13570948,47542838,39461128,100,24,83,69
"175","Northeast Region",2022-12-25,128190730,22580318,53429529,44272141,100,40,94,78
"176","Northeast Region",2023-03-05,129870607,22862390,53725646,44495703,100,40,94,78
"177","Northern Mariana Islands",2020-12-27,3027,0,0,0,6,0,0,0
"178","Northern Mariana Islands",2021-12-26,95793,13714,43360,39878,100,27,84,77
"179","Northern Mariana Islands",2022-12-25,115809,23274,46454,43825,100,45,90,85
"180","Northern Mariana Islands",2023-03-05,117612,23686,46711,43953,100,46,91,86
"181","Ohio",2020-12-27,119464,0,0,0,1,0,0,0
"182","Ohio",2021-12-26,15986492,2686309,7077368,6466991,100,23,60,55
"183","Ohio",2022-12-25,20717062,3969648,7659250,7044880,100,34,65,60
"184","Ohio",2023-03-05,20964560,4006567,7688088,7070783,100,34,65,60
"185","Oklahoma",2020-12-27,52527,0,0,0,1,0,0,0
"186","Oklahoma",2021-12-26,5323906,637475,2617295,2119050,100,16,66,53
"187","Oklahoma",2022-12-25,6660547,986011,2940863,2383051,100,25,73,59
"188","Oklahoma",2023-03-05,6736536,999452,2954030,2393713,100,25,73,59
"189","Oregon",2020-12-27,38703,0,0,0,1,0,0,0
"190","Oregon",2021-12-26,6852504,1106438,3125834,2805561,100,26,73,66
"191","Oregon",2022-12-25,9166670,1775847,3426671,3041550,100,42,81,72
"192","Oregon",2023-03-05,9307270,1798772,3446171,3055514,100,42,81,72
"193","Pacific",2020-12-27,528041,0,0,0,1,0,0,0
"194","Pacific",2021-12-26,88751225,12152106,43194605,35466727,100,23,81,67
"195","Pacific",2022-12-25,117819389,23181896,45199276,39824299,100,44,85,75
"196","Pacific",2023-03-05,119518691,23468245,45280264,40010731,100,44,85,75
"197","Pennsylvania",2020-12-27,154002,0,0,0,1,0,0,0
"198","Pennsylvania",2021-12-26,20123432,2618469,10379386,8175175,100,20,80,63
"199","Pennsylvania",2022-12-25,26925901,4388233,11538334,9338897,100,34,89,72
"200","Pennsylvania",2023-03-05,27325582,4457597,11611815,9401784,100,34,90,73
"201","Puerto Rico",2020-12-27,42617,0,0,0,1,0,0,0
"202","Puerto Rico",2021-12-26,5934828,710462,2844678,2461503,100,23,91,78
"203","Puerto Rico",2022-12-25,7853773,1755707,3053716,2729926,100,57,99,88
"204","Puerto Rico",2023-03-05,7853773,1803393,3053716,2729926,100,59,100,89
"205","Rhode Island",2020-12-27,18829,0,0,0,2,0,0,0
"206","Rhode Island",2021-12-26,1958192,344413,945588,811090,100,31,86,74
"207","Rhode Island",2022-12-25,2610412,535288,1117782,925400,100,49,100,85
"208","Rhode Island",2023-03-05,2650470,542071,1123422,929813,100,49,100,85
"209","South Atlantic",2020-12-27,688276,0,0,0,1,0,0,0
"210","South Atlantic",2021-12-26,99319890,12382698,48006015,39959497,100,19,72,60
"211","South Atlantic",2022-12-25,126813832,20033764,54221447,44681106,100,30,80,66
"212","South Atlantic",2023-03-05,128461974,20310431,54555891,44918302,100,30,80,66
"213","South Carolina",2020-12-27,51196,0,0,0,1,0,0,0
"214","South Carolina",2021-12-26,6731650,859773,3236703,2738076,100,17,62,53
"215","South Carolina",2022-12-25,8522851,1364967,3641946,3072719,100,26,69,58
"216","South Carolina",2023-03-05,8622561,1381680,3657269,3084933,100,26,68,57
"217","South Dakota",2020-12-27,25864,0,0,0,3,0,0,0
"218","South Dakota",2021-12-26,1264731,173905,628500,505847,100,19,70,56
"219","South Dakota",2022-12-25,1656461,270467,737890,583564,100,30,81,64
"220","South Dakota",2023-03-05,1678911,274388,742910,586708,100,30,81,64
"221","South Region",2020-12-27,1572985,0,0,0,1,0,0,0
"222","South Region",2021-12-26,178587006,21954101,85892148,72185664,100,17,67,57
"223","South Region",2022-12-25,226375755,34958036,96687562,80289244,100,27,75,62
"224","South Region",2023-03-05,229066509,35434368,97219090,80649341,100,27,75,62
"225","Tennessee",2020-12-27,112336,0,0,0,2,0,0,0
"226","Tennessee",2021-12-26,8945296,1243841,4015170,3510789,100,18,58,50
"227","Tennessee",2022-12-25,11173141,1834807,4388963,3835699,100,26,62,54
"228","Tennessee",2023-03-05,11253340,1847088,4401380,3843967,100,26,62,54
"229","Texas",2020-12-27,523266,0,0,0,2,0,0,0
"230","Texas",2021-12-26,40613411,4640940,19374629,16517819,100,16,66,56
"231","Texas",2022-12-25,51483870,7294086,22049683,18278939,100,24,73,61
"232","Texas",2023-03-05,52081992,7421038,22177657,18349419,100,24,73,60
"233","United States",2020-12-27,4172658,0,0,0,1,0,0,0
"234","United States",2021-12-26,509307789,69756552,243984454,206059564,100,21,73,62
"235","United States",2022-12-25,663822575,116065473,268363272,229135170,100,35,81,69
"236","United States",2023-03-05,672076105,117540524,269554116,230075934,100,35,80,69
"237","Utah",2020-12-27,31272,0,0,0,1,0,0,0
"238","Utah",2021-12-26,4522293,567373,2160538,1885136,100,17,65,56
"239","Utah",2022-12-25,6037264,1055461,2404143,2131099,100,31,71,63
"240","Utah",2023-03-05,6123446,1070397,2415738,2141235,100,31,71,63
"241","Vermont",2020-12-27,14799,0,0,0,2,0,0,0
"242","Vermont",2021-12-26,1253340,237954,558172,483594,100,37,86,75
"243","Vermont",2022-12-25,1718359,351797,617699,532166,100,54,95,82
"244","Vermont",2023-03-05,1745559,356314,621665,535103,100,55,96,83
"245","Virgin Islands, U.S.",2020-12-27,706,0,0,0,1,0,0,0
"246","Virgin Islands, U.S.",2021-12-26,130384,12161,63414,53838,100,11,60,51
"247","Virgin Islands, U.S.",2022-12-25,153751,18507,74332,58712,100,18,71,56
"248","Virgin Islands, U.S.",2023-03-05,154806,18554,75049,58951,100,18,72,56
"249","Virginia",2020-12-27,90163,0,0,0,1,0,0,0
"250","Virginia",2021-12-26,14499285,2126728,6752283,5807768,100,25,78,67
"251","Virginia",2022-12-25,19227095,3450622,7730309,6514390,100,40,89,75
"252","Virginia",2023-03-05,19466660,3488228,7771536,6539579,100,40,89,75
"253","Washington",2020-12-27,73297,0,0,0,1,0,0,0
"254","Washington",2021-12-26,12619972,1984104,5768728,5176966,100,26,75,67
"255","Washington",2022-12-25,17293339,3334585,6462376,5766796,100,43,83,74
"256","Washington",2023-03-05,17550630,3383989,6495373,5795079,100,43,83,74
"257","West North Central",2020-12-27,292780,0,0,0,1,0,0,0
"258","West North Central",2021-12-26,31134104,4995571,14326130,12542188,100,23,66,58
"259","West North Central",2022-12-25,40850271,7515600,15778470,13887026,100,35,73,64
"260","West North Central",2023-03-05,41387365,7605983,15850410,13948581,100,35,73,64
"261","West Region",2020-12-27,815964,0,0,0,1,0,0,0
"262","West Region",2021-12-26,125283553,17257607,60323848,50137339,100,22,77,64
"263","West Region",2022-12-25,166592458,31685110,64590630,56430054,100,40,82,72
"264","West Region",2023-03-05,168940696,32072363,64788361,56685661,100,41,82,72
"265","West South Central",2020-12-27,660017,0,0,0,2,0,0,0
"266","West South Central",2021-12-26,55389558,6468655,26557557,22521693,100,16,64,55
"267","West South Central",2022-12-25,69818486,10132737,30004221,24925219,100,24,72,60
"268","West South Central",2023-03-05,70599563,10290543,30161171,25017802,100,24,71,59
"269","West Virginia",2020-12-27,53143,0,0,0,3,0,0,0
"270","West Virginia",2021-12-26,2657470,372915,1185094,1038985,100,21,66,58
"271","West Virginia",2022-12-25,3063510,526445,1206016,1067318,100,30,68,60
"272","West Virginia",2023-03-05,3087899,530178,1210013,1070043,100,30,68,60
"273","Wisconsin",2020-12-27,61656,0,0,0,1,0,0,0
"274","Wisconsin",2021-12-26,9144132,1619261,3978452,3611878,100,28,68,61
"275","Wisconsin",2022-12-25,12187825,2389816,4359529,3957621,100,41,74,67
"276","Wisconsin",2023-03-05,12354746,2416803,4376529,3972425,100,41,74,67
"277","Wyoming",2020-12-27,6856,0,0,0,1,0,0,0
"278","Wyoming",2021-12-26,686161,99199,323709,275369,100,17,56,48
"279","Wyoming",2022-12-25,844861,144030,351498,306301,100,25,60,53
"280","Wyoming",2023-03-05,849605,144893,352696,306951,100,25,60,53
